country,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key_x,key_y
EE,192606.02743384353,0.6577817768345617,0.67252099062679,5.477099937332518,-6.6109087106838444,0.5697973495115397,0.0808066670703529,0.18164812635686634,0.0352445338141765,0.1860933711356655,0.504690310328985,126.91927130646322,-0.06784349397880213,0.09768980511640304
EG,214652.96164459427,0.6994066275090857,0.6816572072713408,4.954361670294454,-6.250809696810283,0.30005260693928965,0.08501729115286416,0.35418351595643277,0.006609902894920052,0.18216522059923648,0.6187501865374498,118.82117271244275,0.009533346194901381,0.06022790081901444
ES,196347.68150147446,0.713106466166169,0.6799133602474412,5.445501916604851,-6.402020018380406,0.40075129448478225,0.1131524712143857,0.28921400203536496,0.03034800708989864,0.1706306079419428,0.5610086593540914,119.25977664747626,-0.008095602621605871,-0.01837432930917023
FI,180258.88767359403,0.6778691316393756,0.6999671987807206,5.559353689361382,-5.847638701710346,0.4295114206224803,0.06775487185419546,0.18564472346037053,0.024105187258634152,0.17268907241062184,0.5882567170265315,126.9837753790004,-0.03545954209681932,-0.0004907742426293915
FR,184852.51875071294,0.7029745120509444,0.6450290051819753,5.491643307128331,-6.769768954636596,0.32994820888462717,0.13173026751822187,0.2965424637297526,0.009504219483387085,0.1449150844308299,0.5693244773994379,121.86540974260996,-0.07818225555310664,0.0021998263564483836
GB,197684.38969526388,0.6244416294844864,0.6379905056610459,5.303767480606317,-6.711601927882898,0.7223499912821832,0.0663373469054518,0.24790852332317084,0.016168182488236482,0.17205092145939022,0.5239062924924376,125.60093985204618,-0.003713576458592138,0.11963721098097235
GR,179367.81611369993,0.7141093098475614,0.6859804889468963,5.561474997282095,-6.958625896549323,0.32871529062032095,0.14213057537341722,0.28951115082506407,0.016745419128308726,0.1783686553298847,0.5256695231039229,120.01874858769575,-0.05166357970684131,0.018087581831024345
GT,187446.32344742006,0.7275232802672749,0.6860361696728006,5.926312350851143,-6.532435620936523,0.48704459882271833,0.08554891217054675,0.2785664005069735,0.02417786771854696,0.1619865760195153,0.6345105019844091,121.86052520464548,0.06050270656508204,0.1168166517069825
HK,208377.6472952824,0.6220599728763281,0.6266374534865328,5.44384699759621,-6.451749803573789,0.7394276023555587,0.06657931480314594,0.3364082640471319,0.003229657905061962,0.1444275894938557,0.5057975441407941,131.1150302830871,0.06221915067053192,0.05246055812672332
HN,192992.55284739082,0.7273489903537746,0.6805721665265597,5.888186098511931,-6.61769133104746,0.48219801109373606,0.10365644317505307,0.2726668378766594,0.03148124546016695,0.16634060539027876,0.5923820823298983,119.48096074284184,0.030986136793222895,0.07551959547266268
HU,182625.66250817917,0.7112623683623145,0.6707747638748589,5.487635594251683,-6.713702377814415,0.4931524118408838,0.109945969132235,0.2256221573352281,0.021859717825613117,0.1624822569017522,0.5416921287799532,118.96848903048847,-0.08552167523038214,0.07293943148010312
ID,233506.87080321528,0.5281017852503165,0.5079782070774285,4.84563259601995,-7.844124378046287,0.8816441297953295,0.03848589978275547,0.5304727436519118,0.03412898628249769,0.15187335750486658,0.37509088257686196,121.98907674431574,0.14613888406650824,0.130371291298214
